,p,q,BIC
0,1.0,1.0,779.628
0,1.0,8.0,810.717
0,1.0,9.0,816.175
0,2.0,1.0,786.81
0,2.0,2.0,769.935
0,2.0,9.0,810.007
0,3.0,1.0,793.997
0,3.0,2.0,801.252
0,4.0,1.0,799.427
0,4.0,2.0,780.778
0,4.0,3.0,787.8689999999999
0,5.0,1.0,798.441
0,5.0,2.0,805.355
0,5.0,3.0,795.018
0,5.0,4.0,785.9739999999999
0,6.0,1.0,796.307
0,6.0,2.0,803.6139999999999
0,6.0,3.0,810.7139999999999
0,6.0,4.0,793.306
0,6.0,5.0,797.569
0,7.0,1.0,803.6239999999999
0,7.0,2.0,806.993
0,7.0,3.0,806.835
0,7.0,4.0,798.967
0,7.0,5.0,804.311
0,7.0,6.0,810.5310000000001
0,8.0,1.0,810.105
0,8.0,2.0,817.3
0,8.0,3.0,807.798
0,8.0,4.0,815.0219999999999
0,8.0,5.0,816.625
0,8.0,6.0,823.225
0,8.0,7.0,815.16
0,9.0,1.0,815.6460000000001
0,9.0,2.0,816.005
0,9.0,3.0,815.02
0,9.0,4.0,818.0889999999999
0,9.0,5.0,820.202
0,9.0,6.0,830.1460000000001
0,9.0,7.0,815.174
0,9.0,8.0,826.444
0,9.0,9.0,821.058
